id,newid,chr,start,stop,pval,qval,mdiff,gene,gene-distance,gene-strand,feature-type,gene-type,in-promoter,in-exon,in-intron
HDM_ESR1_Male-v-HDM_ESR2_MaleCpGTile.24,CpGTile004322,1,5240001,5241000,3.21187857698632e-102,2.33652162485114e-98,26.594822670772,Atp6v1h,86616,+,lnc_RNA,gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpGTile.59,CpGTile005436,1,8319001,8320000,0.000153656179197846,0.0166126092064803,-11.1328976034858,Gm38024,203716,-,unconfirmed_transcript,gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpGTile.211,CpGTile005437,1,20112001,20113000,0.00078223332758972,0.0455818186385324,-12.3673469387755,Gm37315,22773,-,unconfirmed_transcript,gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpGTile.217,CpGTile005438,1,20685001,20686000,5.29289902460967e-05,0.00782474825943013,17.0836274279141,Pkhd1,2265,-,transcript,gene,No,Yes,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpGTile.261,CpGTile000012,1,23481001,23482000,0.000332323033194832,0.027119681177377,22.5404732254047,Gm7784,-36620,+,pseudogenic_transcript,pseudogene,No,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpGTile.277,CpGTile005439,1,24235001,24236000,0.000115364171408528,0.0135048703854303,29.9019607843137,Col9a1,-98,+,transcript,gene,Yes,Yes,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpGTile.385,CpGTile005440,1,34575001,34576000,1.48842211368673e-05,0.00284939857844716,11.437327006722,Cfc1,274,+,mRNA,gene,Yes,Yes,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpGTile.400,CpGTile004626,1,34846001,34847000,1.14612075361133e-07,6.07950009797227e-05,14.7433890716644,Gm38336,3990,-,lnc_RNA,ncRNA_gene,No,Yes,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpGTile.466,CpGTile005441,1,36873001,36874000,5.35323485498296e-09,3.83942929665433e-06,17.778426980881,Tmem131,-9140,-,mRNA,gene,No,Yes,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpGTile.495,CpGTile000033,1,37726001,37727000,3.23373564361788e-05,0.00541676077882148,11.8866839229221,Gm19863,8746,-,unconfirmed_transcript,gene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpGTile.573,CpGTile005442,1,40431001,40432000,6.12610223594754e-05,0.00861756158817963,-16.8816690555821,Il1rl1,-36730,+,mRNA,gene,No,No,No
