id,newid,infiniumid,chr,start,stop,pval,qval,mdiff,gene,gene-distance,gene-strand,feature-type,gene-type,in-promoter,in-exon,in-intron
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpG.35,CpG000005,,1,4521541,4521541,0.000489094542118992,0.0491494589851555,20.632798573975,Rp1,-42078,-,lnc_RNA,gene,No,No,No
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpG.36,CpG000006,,1,4521555,4521555,1.48868729923223e-08,4.06363339998291e-05,23.7357727635783,Rp1,-42092,-,lnc_RNA,gene,No,No,No
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpG.37,CpG000007,,1,4521591,4521591,2.45118176202744e-08,6.15802503928876e-05,31.9,Rp1,-42128,-,lnc_RNA,gene,No,No,No
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpG.435,CpG008721,,1,9871717,9871717,8.89133855577668e-05,0.0174786481150132,23.9774011299435,Gm6195,1062,-,pseudogenic_transcript,pseudogene,No,No,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpG.1247,CpG008722,,1,21067411,21067411,0.000391764095861711,0.0432244247980328,17.9861111111111,Efhc1,45501,+,mRNA,gene,No,Yes,No
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpG.1621,CpG008723,,1,24236027,24236027,0.000170957024073253,0.0259115593346845,20.8100037327361,Col9a1,-71,+,transcript,gene,Yes,Yes,No
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpG.2009,CpG008724,,1,34155730,34155730,2.4857305563423e-05,0.00774604563705728,23.9787732938418,Mir6896,-710,+,miRNA,ncRNA_gene,Yes,No,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpG.2029,CpG008725,,1,34276887,34276887,0.000289584602445969,0.0356500826116645,17.2406148389004,Dst,1212,+,mRNA,gene,No,Yes,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpG.2067,CpG008726,,1,34575545,34575545,0.000372667560148895,0.0418328196333404,13.5865619431061,Cfc1,818,+,mRNA,gene,Yes,Yes,No
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpG.2378,CpG008727,,1,36531821,36531821,3.42510505297855e-05,0.00957970711913704,18.3574507389163,Gm56056,-13822,+,miRNA,ncRNA_gene,No,No,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpG.2529,CpG008728,,1,36820203,36820203,0.000273354649302023,0.0344436883097488,21.5461624026696,Zap70,2140,+,lnc_RNA,gene,No,Yes,No
