id,newid,infiniumid,chr,start,stop,pval,qval,mdiff,gene,gene-distance,gene-strand,feature-type,gene-type,in-promoter,in-exon,in-intron
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.6607,CpG008690,,1,59803741,59803741,2.80062691680117e-06,0.0119179678788174,13.8233275252125,ENSMUSG00000119961,-1184,-,lnc_RNA,ncRNA_gene,No,Yes,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.9879,CpG008691,,1,85025878,85025878,1.50611303219763e-05,0.0449149379674657,20.7296849087894,Gm53056,-6200,-,pseudogenic_transcript,pseudogene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.21865,CpG008692,,1,181959630,181959630,1.13476685383309e-05,0.0360670635074211,14.5688622754491,Srp9,1368,+,lnc_RNA,gene,No,Yes,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.62579,CpG008693,,11,94910881,94910881,6.08221950674794e-06,0.0219386424102632,25.594649607444,Pdk2,8522,-,transcript,gene,No,Yes,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.64594,CpG000905,,11,97721043,97721043,1.77026049526867e-06,0.00807785483302997,42.3469387755102,Lasp1,-2966,+,lnc_RNA,gene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.72607,CpG001043,,11,118333558,118333558,1.38336017972031e-05,0.0425958331848191,32.0723684210526,C1qtnf1,-739,+,mRNA,gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.75553,CpG006365,,12,5105630,5105630,1.48980111438699e-05,0.044781094953202,-32.3738842643667,Gm9110,11819,-,pseudogenic_transcript,pseudogene,No,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.82734,CpG006039,,12,71825026,71825026,1.8982151151612e-18,7.9880334824464e-14,18.6746987951807,Gm47556,-10253,-,pseudogenic_transcript,pseudogene,No,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.83327,CpG008694,,12,73999940,73999940,2.69188946870308e-10,2.54879079981105e-06,12.8027210884354,Gm15283,-3353,-,lnc_RNA,ncRNA_gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.83328,CpG006041,,12,73999957,73999957,5.77361312421967e-07,0.00295496892761195,-16.3945578231293,Gm15283,-3370,-,lnc_RNA,ncRNA_gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.87187,CpG008695,,12,100135116,100135116,3.0466626155508e-08,0.000195573185956455,43.5230934479055,Nrde2,-9205,-,mRNA,gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108064,CpG006373,,13,119624924,119624924,8.27874995010575e-09,6.1479672883585e-05,-15.8451989777291,3110070M22Rik,-5,-,lnc_RNA,ncRNA_gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108065,CpG006066,,13,119624927,119624927,1.33627981049131e-08,9.37217967101975e-05,-23.6727221518096,3110070M22Rik,-8,-,lnc_RNA,ncRNA_gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108066,CpG006374,,13,119624930,119624930,1.54480582419944e-08,0.000106377105084577,-23.2614665498101,3110070M22Rik,-11,-,lnc_RNA,ncRNA_gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108067,CpG006375,,13,119624932,119624932,1.28887560306359e-06,0.00617903806339425,-20.2539682539682,3110070M22Rik,-13,-,lnc_RNA,ncRNA_gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108068,CpG006376,,13,119624934,119624934,1.32978792191665e-08,9.37217967101975e-05,-23.343150836428,3110070M22Rik,-15,-,lnc_RNA,ncRNA_gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108069,CpG006377,,13,119624936,119624936,5.39859331171161e-08,0.000329781190565205,-22.3501472625464,3110070M22Rik,-17,-,lnc_RNA,ncRNA_gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108070,CpG006378,,13,119624949,119624949,6.87352214649439e-09,5.31276021514129e-05,-24.1066829017,3110070M22Rik,-30,-,lnc_RNA,ncRNA_gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108071,CpG006379,,13,119624953,119624953,9.05248366040709e-09,6.59327764935244e-05,-24.1335956508073,3110070M22Rik,-34,-,lnc_RNA,ncRNA_gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108072,CpG006380,,13,119624960,119624960,4.56059543681283e-08,0.000283157893030918,-23.0026225823069,3110070M22Rik,-41,-,lnc_RNA,ncRNA_gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108073,CpG006381,,13,119624965,119624965,1.35005082991382e-06,0.00639141609372884,-21.0996202161846,3110070M22Rik,-46,-,lnc_RNA,ncRNA_gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108074,CpG006382,,13,119624968,119624968,7.26469203242346e-09,5.50280549955044e-05,-23.8093564785532,3110070M22Rik,-49,-,lnc_RNA,ncRNA_gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108076,CpG006383,,13,119624975,119624975,2.81021891068837e-08,0.000183505513398631,-23.1902356902357,3110070M22Rik,-56,-,lnc_RNA,ncRNA_gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108077,CpG006384,,13,119624979,119624979,2.98098129440388e-07,0.00160950868775596,-21.2116273384477,3110070M22Rik,-60,-,lnc_RNA,ncRNA_gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108078,CpG006067,,13,119624986,119624986,3.89997310387533e-10,3.57823810919533e-06,-26.4431121026213,3110070M22Rik,-67,-,lnc_RNA,ncRNA_gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108079,CpG006385,,13,119624988,119624988,1.21613059960932e-09,1.00128876492686e-05,-24.989542665923,3110070M22Rik,-69,-,lnc_RNA,ncRNA_gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108080,CpG006068,,13,119624993,119624993,7.15076142090046e-08,0.000423164545134904,-22.1541566915458,3110070M22Rik,-74,-,lnc_RNA,ncRNA_gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108081,CpG006386,,13,119624995,119624995,1.80856176415714e-08,0.0001223157201599,-23.5800486503082,3110070M22Rik,-76,-,lnc_RNA,ncRNA_gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108094,CpG001587,,13,119625514,119625514,3.23855489159597e-06,0.0136284263581013,-16.2142094760778,Tmem267,120,+,mRNA,gene,Yes,Yes,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108095,CpG001588,cg32139574_BC11,13,119625520,119625520,1.76698295131586e-09,1.42387367275653e-05,-21.9849874895746,Tmem267,126,+,mRNA,gene,Yes,Yes,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108096,CpG001589,,13,119625536,119625536,2.54971497223701e-08,0.000169415732258851,-19.1108636131607,Tmem267,142,+,mRNA,gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108097,CpG001592,cg32139578_TC21,13,119625599,119625599,1.41692766750694e-07,0.000825603038581126,-16.938380768168,Tmem267,205,+,mRNA,gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108098,CpG001593,,13,119625608,119625608,3.16613475970341e-08,0.000199855039624688,-16.9309533693095,Tmem267,214,+,mRNA,gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108099,CpG008696,,13,119625610,119625610,1.07284824678699e-05,0.0350281552046852,-11.7793791574279,Tmem267,216,+,mRNA,gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108100,CpG001594,,13,119625622,119625622,8.25936219242449e-06,0.0286983529266322,-13.5934689359347,Tmem267,228,+,mRNA,gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.108101,CpG006393,,13,119625643,119625643,4.06256884426203e-10,3.57823810919533e-06,-31.5252273132466,Tmem267,249,+,mRNA,gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.119363,CpG006080,,14,80327235,80327235,2.31653635791353e-13,2.77379883634274e-09,-35.8178053830228,Olfm4,89495,+,mRNA,gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.121745,CpG008697,,14,121272089,121272089,5.3671553411898e-06,0.0199287909817544,28.8065843621399,Farp1,-523,+,mRNA,gene,Yes,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.144069,CpG002099,,16,22391770,22391770,1.12492529522674e-05,0.0360670635074211,32.4197619906239,Gm55036,-22009,+,ncRNA,ncRNA_gene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.144871,CpG006679,,16,30318362,30318362,4.21627001159182e-07,0.00221785361381249,30.4473304473305,ENSMUSG00000120188,-11129,+,lnc_RNA,ncRNA_gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.144872,CpG006680,,16,30318374,30318374,1.18105483256208e-06,0.00573472262590164,21.9255988224274,ENSMUSG00000120188,-11117,+,lnc_RNA,ncRNA_gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.146006,CpG008698,,16,35036030,35036030,3.01727375540303e-07,0.00160950868775596,37.2834372834373,Gm25179,19264,-,snRNA,ncRNA_gene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.146817,CpG006094,,16,38592500,38592500,1.24803417485101e-12,1.31298854069822e-08,37.1338383838384,Upk1b,8206,-,lnc_RNA,gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.147181,CpG006401,,16,44714419,44714419,9.18750378001313e-15,1.44985058388552e-10,35.836006415397,Gm17928,1762,+,pseudogenic_transcript,pseudogene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.147990,CpG006402,,16,57211639,57211639,5.61513993558464e-08,0.000337564675180684,36.0769230769231,Filip1l,38001,+,mRNA,gene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.147991,CpG006097,,16,57211651,57211651,3.97348221334905e-10,3.57823810919533e-06,24.3608133272938,Filip1l,38013,+,mRNA,gene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.147992,CpG006098,,16,57211655,57211655,9.28221485931871e-14,1.17183730909027e-09,26.9892797825759,Filip1l,38017,+,mRNA,gene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.147993,CpG006099,,16,57211658,57211658,9.20037835455517e-10,7.7433721563344e-06,20.0676933917157,Filip1l,38020,+,mRNA,gene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.147994,CpG006100,,16,57211669,57211669,7.31474713897097e-11,7.10348829945647e-07,20.2221538145811,Filip1l,38031,+,mRNA,gene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.147995,CpG006101,,16,57211675,57211675,1.96458442483698e-07,0.00109420512020919,18.7393243141108,Filip1l,38037,+,mRNA,gene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.147996,CpG006102,,16,57211844,57211844,3.67399107866744e-13,4.09257021389077e-09,29.1801129487697,Filip1l,38206,+,mRNA,gene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.147997,CpG006103,,16,57211854,57211854,1.02254857107724e-11,1.04669266523314e-07,24.6380116292327,Filip1l,38216,+,mRNA,gene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.147998,CpG006104,,16,57211856,57211856,8.76413247866586e-14,1.14458459010031e-09,30.6067240424782,Filip1l,38218,+,mRNA,gene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.147999,CpG006105,,16,57211860,57211860,1.29575220695205e-16,3.27165617787459e-12,34.0543057023504,Filip1l,38222,+,mRNA,gene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.148000,CpG006106,,16,57211864,57211864,6.96176941650455e-16,1.64792184499886e-11,29.9952186823695,Filip1l,38226,+,mRNA,gene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.148001,CpG006107,,16,57211879,57211879,4.67992220147868e-07,0.0024280226405498,24.0062843676355,Filip1l,38241,+,mRNA,gene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.160358,CpG006119,,17,36542159,36542159,7.38579369430035e-30,2.79726834793179e-24,34.9679056575608,Gm18604,1800,+,pseudogenic_transcript,pseudogene,No,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.160359,CpG006120,,17,36542167,36542167,5.37157501029638e-19,2.54301321170785e-14,30.3929693704893,Gm18604,1808,+,pseudogenic_transcript,pseudogene,No,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.160622,CpG002361,,17,40154027,40154027,1.23589716164191e-28,2.34039573446761e-23,29.2481594407675,Rn18s-rs5,-3217,+,rRNA,ncRNA_gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.160623,CpG006121,,17,40154052,40154052,1.69813220862581e-23,2.14381449685775e-18,26.4814829759589,Rn18s-rs5,-3192,+,rRNA,ncRNA_gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.160625,CpG006405,,17,40155143,40155143,3.58291017503511e-06,0.0147497633278748,11.3772804103281,Rn18s-rs5,-2101,+,rRNA,ncRNA_gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.160636,CpG006123,,17,40155407,40155407,5.00783321769993e-06,0.0189672692469639,14.3555441214304,Rn18s-rs5,-1837,+,rRNA,ncRNA_gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.160637,CpG006124,,17,40155422,40155422,7.01157198048456e-07,0.00354071598929,17.3688362919132,Rn18s-rs5,-1822,+,rRNA,ncRNA_gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.160638,CpG006411,,17,40155433,40155433,5.14595000677728e-06,0.0192966156941007,13.0848126232742,Rn18s-rs5,-1811,+,rRNA,ncRNA_gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.160640,CpG008699,,17,40155657,40155657,7.9002681834105e-21,4.98686420722367e-16,16.3338729987408,Rn18s-rs5,-1587,+,rRNA,ncRNA_gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.160643,CpG006412,,17,40156939,40156939,5.46214342387895e-09,4.30981691109902e-05,28.7587670183297,Rn18s-rs5,-305,+,rRNA,ncRNA_gene,Yes,No,No
HDM_ESR1_Male-v-HDM_ESR2_MaleCpG.160644,CpG006413,,17,40156945,40156945,2.80782999221761e-11,2.79849265135247e-07,34.1760821716801,Rn18s-rs5,-299,+,rRNA,ncRNA_gene,Yes,No,No
