id,newid,chr,start,stop,pval,qval,mdiff,gene,gene-distance,gene-strand,feature-type,gene-type,in-promoter,in-exon,in-intron
HDM_ESR1_Male-v-HDM_WT_MaleCpGTile.30,CpGTile004322,1,5240001,5241000,1.41864787431304e-27,9.65234042150497e-24,14.9482619105021,Atp6v1h,86616,+,lnc_RNA,gene,No,No,No
HDM_ESR1_Male-v-HDM_WT_MaleCpGTile.35,CpGTile007728,1,5688001,5689000,0.000170940057364303,0.0293516546448219,-11.9356292584639,Gm36965,0,-,pseudogenic_transcript,pseudogene,Yes,Yes,No
HDM_ESR1_Male-v-HDM_WT_MaleCpGTile.73,CpGTile007729,1,9307001,9308000,0.000135554340985903,0.0256193996116487,-12.6193390452876,Gm38008,21360,-,pseudogenic_transcript,pseudogene,No,No,Yes
HDM_ESR1_Male-v-HDM_WT_MaleCpGTile.228,CpGTile005438,1,20685001,20686000,0.000170019540342394,0.0293028704629503,15.5991186080085,Pkhd1,2265,-,transcript,gene,No,Yes,Yes
HDM_ESR1_Male-v-HDM_WT_MaleCpGTile.398,CpGTile005749,1,34155001,34156000,0.000108423394754684,0.0226985261492081,-11.7749328275644,Mir6896,-440,+,miRNA,ncRNA_gene,Yes,Yes,Yes
HDM_ESR1_Male-v-HDM_WT_MaleCpGTile.603,CpGTile007362,1,40156001,40157000,2.55398506555941e-05,0.00853357951931799,17.3417360091369,Gm37347,28332,+,unconfirmed_transcript,gene,No,No,Yes
HDM_ESR1_Male-v-HDM_WT_MaleCpGTile.862,CpGTile007363,1,57647001,57648000,2.22109162576844e-05,0.00760356663036792,-23.8673621460507,ENSMUSG00000121279,31147,+,lnc_RNA,ncRNA_gene,No,No,No
HDM_ESR1_Male-v-HDM_WT_MaleCpGTile.945,CpGTile007730,1,61273001,61274000,0.000112771732764658,0.0231305628454053,-13.8494318181818,Gm11591,-36601,-,pseudogenic_transcript,pseudogene,No,No,No
HDM_ESR1_Male-v-HDM_WT_MaleCpGTile.1517,CpGTile007731,1,88023001,88024000,5.91307314620747e-05,0.0152348205536939,12.5833333333333,Ugt1a7c,167,+,mRNA,gene,Yes,Yes,Yes
HDM_ESR1_Male-v-HDM_WT_MaleCpGTile.1649,CpGTile005448,1,91423001,91424000,0.000219226518250271,0.0347894026748552,-24.3493819128172,Traf3ip1,587,+,mRNA,gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_WT_MaleCpGTile.1658,CpGTile004635,1,91635001,91636000,1.05944901940988e-06,0.000647944879855162,-21.3642531145923,Twist2,-93183,+,mRNA,gene,No,No,No
HDM_ESR1_Male-v-HDM_WT_MaleCpGTile.1667,CpGTile007732,1,91856001,91857000,0.000378242573639217,0.0463698237815979,-15.0724637681159,Hdac4,5587,-,lnc_RNA,gene,No,Yes,No
HDM_ESR1_Male-v-HDM_WT_MaleCpGTile.1893,CpGTile007369,1,110174001,110175000,2.34375318914372e-06,0.00127573326998049,-28.0676827693103,Cdh7,146978,+,mRNA,gene,No,No,No
HDM_ESR1_Male-v-HDM_WT_MaleCpGTile.1994,CpGTile007733,1,119311001,119312000,0.000203673243154344,0.0333921129564738,15.9569377990431,Inhbb,37979,-,mRNA,gene,No,Yes,No
HDM_ESR1_Male-v-HDM_WT_MaleCpGTile.2078,CpGTile004637,1,125362001,125363000,4.1615604497297e-10,6.29218832206901e-07,10.1423989659159,Actr3,0,-,mRNA,gene,Yes,Yes,Yes
HDM_ESR1_Male-v-HDM_WT_MaleCpGTile.2229,CpGTile007734,1,132459001,132460000,0.000393879494389482,0.0476429740206882,-20.3030303030303,Cntn2,1623,-,mRNA,gene,No,No,Yes
HDM_ESR1_Male-v-HDM_WT_MaleCpGTile.2444,CpGTile007735,1,136717001,136718000,7.3116778912379e-05,0.0174554162394714,10.6563421828909,Mif-ps1,0,-,pseudogenic_transcript,pseudogene,Yes,Yes,No
HDM_ESR1_Male-v-HDM_WT_MaleCpGTile.2611,CpGTile000188,1,152399001,152400000,0.000217361671941445,0.0346957749925693,-15.9748629067766,Rgl1,28796,-,lnc_RNA,gene,No,No,Yes
HDM_ESR1_Male-v-HDM_WT_MaleCpGTile.3081,CpGTile000217,1,171217001,171218000,2.92227394965498e-05,0.00941200669999781,13.1488318699389,Arhgap30,436,+,lnc_RNA,gene,Yes,Yes,Yes
