id,newid,infiniumid,chr,start,stop,pval,qval,mdiff,gene,gene-distance,gene-strand,feature-type,gene-type,in-promoter,in-exon,in-intron
HDM-v-PBS-covCpG.2130,CpG005894,,1,37624971,37624971,1.82055894064543e-09,1.49696864376581e-05,-10.3804948241626,4930556I23Rik,-28369,+,lnc_RNA,ncRNA_gene,No,No,No
HDM-v-PBS-covCpG.4383,CpG005895,,1,63447609,63447609,1.45508242572406e-07,0.00047615051100881,-10.9772302470692,Adam23,-37441,+,lnc_RNA,gene,No,No,No
HDM-v-PBS-covCpG.9631,CpG000211,,1,136507258,136507258,1.48811463033739e-06,0.00285719288891478,-11.9456031382805,Gm33994,-44,-,lnc_RNA,ncRNA_gene,Yes,Yes,Yes
HDM-v-PBS-covCpG.9697,CpG000212,,1,137150935,137150935,2.08875972108364e-09,1.65827470924778e-05,-10.1635514018692,Gm25609,-7551,-,snRNA,ncRNA_gene,No,No,No
HDM-v-PBS-covCpG.13396,CpG005896,,1,182391018,182391018,9.90492369255881e-05,0.0402903178865892,-11.3609922599875,Capn8,-1554,+,mRNA,gene,No,No,No
HDM-v-PBS-covCpG.13398,CpG000292,,1,182391044,182391044,6.62989033985368e-07,0.00160544392485809,-11.8659670440946,Capn8,-1528,+,mRNA,gene,No,No,No
HDM-v-PBS-covCpG.15785,CpG005897,,10,19536005,19536005,5.11175070567646e-07,0.00129328507100091,-12.6342272446169,9230106D20Rik,15509,+,lnc_RNA,ncRNA_gene,No,Yes,No
HDM-v-PBS-covCpG.20068,CpG005898,,10,77372935,77372935,8.67446222412024e-09,4.87107363101693e-05,-14.5476207411622,Itgb2,6723,+,mRNA,gene,No,No,Yes
HDM-v-PBS-covCpG.22108,CpG005899,,10,83077706,83077706,2.57834410841821e-05,0.0186680188641057,-11.3339696328367,Slc41a2,62534,-,transcript,gene,No,No,Yes
HDM-v-PBS-covCpG.26896,CpG000614,,11,4187715,4187715,2.61902208665382e-07,0.000760496759401621,-12.4843453453282,Osm,1297,+,transcript,gene,No,No,Yes
HDM-v-PBS-covCpG.31306,CpG000725,,11,55012006,55012006,3.00367983019924e-06,0.00467259256830835,-12.8349921951069,Atp5pb-ps,-2386,-,pseudogenic_transcript,pseudogene,No,No,No
HDM-v-PBS-covCpG.36492,CpG000829,,11,81793839,81793839,3.66811972792571e-05,0.0231774219925522,-10.5515829577925,5530401A14Rik,42336,+,lnc_RNA,ncRNA_gene,No,No,Yes
HDM-v-PBS-covCpG.37646,CpG005900,,11,87651724,87651724,1.4426569187943e-08,7.17340171653335e-05,-12.1953971740124,Tspoap1,313,+,mRNA,gene,Yes,Yes,No
HDM-v-PBS-covCpG.41149,CpG005901,,11,101843209,101843209,1.37463027445689e-05,0.0128102634274831,-10.9280953187297,4930417O22Rik,-38,+,lnc_RNA,ncRNA_gene,Yes,No,No
HDM-v-PBS-covCpG.48235,CpG005902,,12,25361967,25361967,1.89053928745548e-05,0.0153427463829336,-10.7730137752249,Gm36723,-4222,+,lnc_RNA,ncRNA_gene,No,No,Yes
HDM-v-PBS-covCpG.59278,CpG005904,,13,41239595,41239595,6.52535854180106e-09,3.95354579578775e-05,-15.206926262542,Gm48344,-5311,+,pseudogenic_transcript,pseudogene,No,No,No
HDM-v-PBS-covCpG.62166,CpG005905,,13,58411639,58411639,3.22203502209094e-05,0.0215280984934075,-10.3837128844829,Gkap1,154,-,lnc_RNA,gene,Yes,No,Yes
HDM-v-PBS-covCpG.65490,CpG005906,,13,100076032,100076032,9.35778623576047e-07,0.00199487347500102,-11.4988047808765,Mccc2,21527,-,lnc_RNA,gene,No,No,No
HDM-v-PBS-covCpG.66109,CpG005907,,13,108438894,108438894,1.63090661235279e-06,0.00305274109557784,11.6334933815576,Gm8990,8391,-,pseudogenic_transcript,pseudogene,No,No,No
HDM-v-PBS-covCpG.66618,CpG001573,,13,113708876,113708876,5.71070840585494e-12,1.09565728386631e-07,-13.4019410048062,Gm34471,-4574,-,lnc_RNA,ncRNA_gene,No,No,No
HDM-v-PBS-covCpG.72430,CpG005908,cg32611267_BC21,14,66450958,66450958,1.44623455105934e-05,0.0132657253742777,-10.8920277941124,Ptk2b,44,-,mRNA,gene,Yes,Yes,No
HDM-v-PBS-covCpG.76792,CpG005909,,15,27668117,27668117,5.49630655142064e-05,0.0286295596886572,-10.2136190654948,Otulinl,-5592,-,mRNA,gene,No,No,Yes
HDM-v-PBS-covCpG.82734,CpG005910,,15,85025311,85025311,5.89213916780116e-06,0.00766418043585376,-10.3990133772704,Ribc2,9009,+,mRNA,gene,No,No,Yes
HDM-v-PBS-covCpG.83681,CpG005911,,15,89343224,89343224,3.25068365558822e-05,0.0215280984934075,-11.8901056178319,Mapk8ip2,3981,+,transcript,gene,No,Yes,No
HDM-v-PBS-covCpG.83682,CpG001973,,15,89343227,89343227,1.02464488244415e-08,5.4861908412571e-05,-11.4952393640918,Mapk8ip2,3984,+,transcript,gene,No,Yes,No
HDM-v-PBS-covCpG.83683,CpG001974,,15,89343231,89343231,5.15578218904661e-09,3.20818075190894e-05,-11.5899532899265,Mapk8ip2,3988,+,transcript,gene,No,Yes,No
HDM-v-PBS-covCpG.83684,CpG001975,,15,89343262,89343262,9.79178553752747e-12,1.70461697378513e-07,-13.2433624388299,Mapk8ip2,4019,+,transcript,gene,No,Yes,No
HDM-v-PBS-covCpG.85880,CpG005912,,15,100951555,100951555,1.84420507669072e-06,0.00329143659899228,-12.4006049866797,Fignl2,726,-,mRNA,gene,Yes,Yes,No
HDM-v-PBS-covCpG.85885,CpG005913,,15,100951579,100951579,5.30806312575364e-06,0.00714670671015966,-11.7551994932474,Fignl2,702,-,mRNA,gene,Yes,Yes,No
HDM-v-PBS-covCpG.86028,CpG005914,,15,101154310,101154310,1.11842689472689e-05,0.0118662599807661,-11.1217769284205,Nr4a1,2162,+,mRNA,gene,No,No,Yes
HDM-v-PBS-covCpG.91323,CpG002149,,16,50302677,50302677,8.236828220748e-06,0.00968755080550802,-10.4956322008726,G730013B05Rik,-43931,+,lnc_RNA,ncRNA_gene,No,No,No
HDM-v-PBS-covCpG.93376,CpG002224,,16,93953030,93953030,3.72211594629125e-05,0.0231774219925522,-11.0349674925321,Gm54583,17241,-,miRNA,ncRNA_gene,No,No,Yes
HDM-v-PBS-covCpG.96697,CpG005915,,17,27639176,27639176,2.94642219194001e-09,2.18826177511025e-05,-11.7834724936342,Gm49789,-17327,+,unconfirmed_transcript,gene,No,No,No
HDM-v-PBS-covCpG.97761,CpG005916,,17,31381760,31381760,2.07589362277736e-06,0.00343839910832544,-10.2153871504891,Tff1,2217,-,mRNA,gene,No,Yes,Yes
HDM-v-PBS-covCpG.98868,CpG005917,,17,35407197,35407197,1.84809086137628e-05,0.0153427463829336,-10.2703239460221,Lst1,219,-,mRNA,gene,Yes,No,Yes
HDM-v-PBS-covCpG.101623,CpG002432,,17,57645261,57645261,3.10268377964571e-06,0.00473071253906778,-10.1311458523544,Adgre1,-20430,+,mRNA,gene,No,No,No
HDM-v-PBS-covCpG.102709,CpG002457,,17,71159897,71159897,2.63669792393828e-65,6.07052662557156e-60,28.743741996471,Gm9320,147,+,lnc_RNA,pseudogene,Yes,Yes,Yes
HDM-v-PBS-covCpG.102710,CpG005918,,17,71159902,71159902,9.1099114325819e-22,5.24348650313779e-17,14.5112149205001,Gm9320,152,+,lnc_RNA,pseudogene,Yes,Yes,Yes
HDM-v-PBS-covCpG.103983,CpG002491,,17,84154058,84154058,5.83464618156448e-15,2.23887200441179e-10,-13.5048981495879,ENSMUSG00000121087,20,+,lnc_RNA,ncRNA_gene,Yes,Yes,Yes
HDM-v-PBS-covCpG.103984,CpG002492,cg35285235_BC21,17,84154083,84154083,1.64904145034676e-09,1.40615695447402e-05,-14.2638066233424,ENSMUSG00000121087,45,+,lnc_RNA,ncRNA_gene,Yes,Yes,No
HDM-v-PBS-covCpG.120725,CpG005921,,19,57982829,57982829,3.31533685963582e-07,0.00091963514660204,-13.2400113367832,Mir5623,-56770,+,miRNA,ncRNA_gene,No,No,Yes
HDM-v-PBS-covCpG.120726,CpG005922,,19,57982843,57982843,1.46439089269881e-08,7.17340171653335e-05,-10.46955624355,Mir5623,-56756,+,miRNA,ncRNA_gene,No,No,Yes
HDM-v-PBS-covCpG.120729,CpG005923,,19,57982942,57982942,2.46150081930342e-07,0.000745679808484446,-11.1384837734858,Mir5623,-56657,+,miRNA,ncRNA_gene,No,No,Yes
HDM-v-PBS-covCpG.120730,CpG005924,,19,57982978,57982978,1.48920613116333e-06,0.00285719288891478,-10.0146404639901,Mir5623,-56621,+,miRNA,ncRNA_gene,No,No,Yes
HDM-v-PBS-covCpG.121801,CpG002881,,2,11667129,11667129,1.11960037106516e-08,5.72817807947977e-05,-13.5490452675113,Il2ra,-17390,+,lnc_RNA,gene,No,No,Yes
HDM-v-PBS-covCpG.126597,CpG005925,,2,43629167,43629167,2.23007397394659e-15,1.02686950317133e-10,-13.8140103158606,Arhgap15,-9669,+,mRNA,gene,No,No,No
HDM-v-PBS-covCpG.127093,CpG005926,,2,57001874,57001874,2.14815752396292e-10,2.35511881063811e-06,-12.9549293404751,Nr4a2,1211,-,mRNA,gene,No,Yes,No
HDM-v-PBS-covCpG.130035,CpG005928,,2,90969112,90969112,3.07481312443003e-09,2.21225272563522e-05,-11.6049041319357,Madd,490,-,lnc_RNA,gene,Yes,Yes,Yes
HDM-v-PBS-covCpG.137381,CpG003197,,2,157983435,157983435,7.67301856560833e-07,0.00174908480245638,11.7388614910095,Tgm2,-1780,-,transcript,gene,No,No,Yes
HDM-v-PBS-covCpG.137516,CpG003212,,2,160203382,160203382,9.58038133296104e-07,0.00202358890219701,-10.4561403508772,Mafb,5604,-,mRNA,gene,No,No,No
HDM-v-PBS-covCpG.139474,CpG005929,,2,168417275,168417275,9.16628796031024e-06,0.0102945087370655,-10.3016091816248,Nfatc2,14837,-,mRNA,gene,No,No,Yes
HDM-v-PBS-covCpG.144600,CpG003427,,3,62066476,62066476,1.02821918073779e-22,7.89097081988203e-18,-16.1617418662389,Gm37404,35850,+,unconfirmed_transcript,gene,No,No,No
HDM-v-PBS-covCpG.145076,CpG005930,,3,68598584,68598584,2.06875006597329e-06,0.00343839910832544,-13.1364849604763,Il12a,-101,+,mRNA,gene,Yes,No,Yes
HDM-v-PBS-covCpG.145077,CpG005931,,3,68598603,68598603,6.77525785655865e-09,3.99969810723688e-05,-11.2528830895155,Il12a,-82,+,mRNA,gene,Yes,No,Yes
HDM-v-PBS-covCpG.148098,CpG003488,,3,100422905,100422905,9.06425980994816e-05,0.0383618406157144,-11.2760257195346,Gm42868,18162,+,lnc_RNA,ncRNA_gene,No,No,Yes
HDM-v-PBS-covCpG.149643,CpG003520,,3,115951513,115951513,3.67119584842353e-06,0.00545023502605045,-11.4360668480373,Gm26544,7387,+,lnc_RNA,ncRNA_gene,No,No,Yes
HDM-v-PBS-covCpG.150830,CpG005932,,3,129347019,129347019,7.97394751173825e-08,0.000284699331713929,-10.275985026945,Elovl6,992,+,mRNA,gene,Yes,No,Yes
HDM-v-PBS-covCpG.151044,CpG005933,,3,130906841,130906841,1.643339719296e-07,0.000524249084200993,-10.086020280278,Lef1,388,+,lnc_RNA,gene,Yes,No,Yes
HDM-v-PBS-covCpG.157622,CpG005934,,4,61603317,61603317,4.88304418345783e-27,5.62116908812361e-22,17.8072554402808,Mup18,-10945,-,mRNA,gene,No,No,No
HDM-v-PBS-covCpG.164085,CpG005935,,4,128911052,128911052,1.03654665210408e-11,1.70461697378513e-07,-14.9211617095166,ENSMUSG00000120256,15461,-,lnc_RNA,ncRNA_gene,No,No,No
HDM-v-PBS-covCpG.164086,CpG005936,,4,128911080,128911080,4.75911083999629e-12,9.96091250966594e-08,-14.5174338645741,ENSMUSG00000120256,15433,-,lnc_RNA,ncRNA_gene,No,No,No
HDM-v-PBS-covCpG.176002,CpG005937,,5,53559892,53559892,1.22344522124837e-13,3.12973819896638e-09,-18.2898930979899,Gm56013,-16023,+,rRNA,ncRNA_gene,No,No,No
HDM-v-PBS-covCpG.176727,CpG004089,,5,66021910,66021910,6.79695345380314e-08,0.000256799735107436,-12.6788465771517,Rhoh,951,+,lnc_RNA,gene,Yes,Yes,Yes
HDM-v-PBS-covCpG.176728,CpG005938,,5,66021958,66021958,4.17841911264397e-08,0.000177279583585876,-13.269189663755,Rhoh,999,+,lnc_RNA,gene,Yes,Yes,Yes
HDM-v-PBS-covCpG.180698,CpG005939,,5,111568617,111568617,4.94590728031631e-09,3.16307478972316e-05,-14.1595211956978,Gm43119,-2838,+,unconfirmed_transcript,gene,No,Yes,No
HDM-v-PBS-covCpG.182576,CpG005940,cg42722065_BC21,5,120915672,120915672,2.87730640169086e-10,3.01112942042412e-06,-11.6043543057085,Oas3,34,-,lnc_RNA,gene,Yes,Yes,No
HDM-v-PBS-covCpG.185163,CpG004365,,5,135156696,135156696,9.14749339854626e-09,5.0143980440878e-05,-11.9810062632657,Gm43500,-4550,-,lnc_RNA,ncRNA_gene,No,No,Yes
HDM-v-PBS-covCpG.191590,CpG005941,,6,48883002,48883002,3.63976357608144e-09,2.53936556331212e-05,-14.0697245492867,Aoc1,1084,+,mRNA,gene,No,Yes,No
HDM-v-PBS-covCpG.196054,CpG005942,cg43778498_BC21,6,100459758,100459758,1.64106548302433e-08,7.87137611479923e-05,-13.748427275884,Gm23234,12018,-,snoRNA,ncRNA_gene,No,No,No
HDM-v-PBS-covCpG.197732,CpG005943,,6,120797378,120797378,1.11803108217059e-09,1.06576552016497e-05,-14.5094324526663,Atp6v1e1,-2019,-,mRNA,gene,No,No,Yes
HDM-v-PBS-covCpG.198004,CpG005944,,6,124709801,124709801,1.87599504911202e-07,0.000583044344154892,-10.5156290749227,Ptpn6,-68,-,transcript,gene,Yes,Yes,Yes
HDM-v-PBS-covCpG.199494,CpG004636,,6,143392057,143392057,0.000124454893895566,0.0445629122712648,-10.9467696847337,Gm23272,19067,-,snoRNA,ncRNA_gene,No,No,No
HDM-v-PBS-covCpG.199735,CpG004650,,6,146354199,146354199,5.06744213578305e-14,1.45836019598269e-09,-14.3837732850711,Gm15720,10907,-,pseudogenic_transcript,pseudogene,No,No,Yes
HDM-v-PBS-covCpG.199736,CpG004651,,6,146354207,146354207,7.99972810159053e-10,8.00780301378584e-06,-11.5896419930573,Gm15720,10899,-,pseudogenic_transcript,pseudogene,No,No,Yes
HDM-v-PBS-covCpG.199737,CpG004652,,6,146354211,146354211,3.1612844421708e-11,4.85219567069683e-07,-12.6665065443111,Gm15720,10895,-,pseudogenic_transcript,pseudogene,No,No,Yes
HDM-v-PBS-covCpG.208671,CpG005945,,7,81825084,81825084,7.64513653300229e-11,1.035386064614e-06,10.4898693681685,Sh3gl3,104,+,transcript,gene,Yes,No,Yes
HDM-v-PBS-covCpG.212479,CpG005946,,7,126365529,126365529,4.20099924182298e-05,0.0249923807853427,10.1996711208784,Gdpd3,25,+,mRNA,gene,Yes,Yes,No
HDM-v-PBS-covCpG.212644,CpG005947,,7,126733478,126733478,8.2025633950885e-09,4.72123475311207e-05,-14.4887196719499,Spn,2261,-,mRNA,gene,No,Yes,Yes
HDM-v-PBS-covCpG.212795,CpG004942,,7,126895613,126895613,2.55387879607369e-07,0.000760496759401621,-10.6509739913169,Itgal,33,+,mRNA,gene,Yes,Yes,No
HDM-v-PBS-covCpG.212796,CpG004943,cg45131043_TC21,7,126895636,126895636,5.45113390045587e-11,7.84391463225684e-07,-12.8654401154401,Itgal,56,+,mRNA,gene,Yes,Yes,No
HDM-v-PBS-covCpG.212797,CpG004944,,7,126895650,126895650,1.05910847537511e-08,5.54183712890023e-05,-14.0788374859862,Itgal,70,+,mRNA,gene,Yes,Yes,No
HDM-v-PBS-covCpG.215186,CpG005948,,7,141636119,141636119,1.31531312532831e-07,0.000445334388303599,-10.2900845578829,Gm25416,-3946,-,snRNA,ncRNA_gene,No,Yes,No
