id,newid,chr,start,stop,pval,qval,mdiff,gene,gene-distance,gene-strand,feature-type,gene-type,in-promoter,in-exon,in-intron
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.1,CpGTile000001,1,3602001,3603000,1.23844433459494e-08,3.70190289130376e-07,10.8562063843018,Gm7341,0,+,pseudogenic_transcript,pseudogene,Yes,Yes,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.4,CpGTile000002,1,4521001,4522000,1.98129072569503e-17,3.12125768946775e-15,25.1253355255373,Rp1,-41538,-,lnc_RNA,gene,No,No,No
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.39,CpGTile005744,1,9871001,9872000,1.5994732602464e-05,0.000187210750355236,19.4454956807898,Gm6195,779,-,pseudogenic_transcript,pseudogene,Yes,No,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.61,CpGTile000007,1,13379001,13380000,0.00143051529010493,0.00779459135882725,11.9664066481126,Ncoa2,-9056,-,mRNA,gene,No,No,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.68,CpGTile005745,1,13847001,13848000,0.00163494410476386,0.0087030591097336,12.4245038826575,Gm26273,-2314,-,snoRNA,ncRNA_gene,No,No,No
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.112,CpGTile005746,1,20991001,20992000,0.00564980306716143,0.0235017838230689,12.4758266119523,Paqr8,-483,+,mRNA,gene,Yes,No,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.114,CpGTile005747,1,21067001,21068000,6.30024384682151e-06,8.40347794511099e-05,15.0240384615385,Efhc1,45091,+,mRNA,gene,No,Yes,No
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.126,CpGTile005748,1,23254001,23255000,1.42239184272966e-05,0.000168428922725299,18.8631984585742,Gm29506,19755,-,lnc_RNA,ncRNA_gene,No,No,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.140,CpGTile000015,1,24236001,24237000,0.000170957024073253,0.00136131619421162,20.8100037327361,Col9a1,0,+,transcript,gene,Yes,Yes,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.163,CpGTile005749,1,34155001,34156000,2.6877122546961e-05,0.000289847938534661,10.4679496183921,Mir6896,-440,+,miRNA,ncRNA_gene,Yes,Yes,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.164,CpGTile005750,1,34160001,34161000,1.82467459669043e-05,0.00020955978580422,18.1112135176651,Dst,0,+,mRNA,gene,Yes,Yes,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.166,CpGTile005751,1,34276001,34277000,1.05062623148587e-05,0.000130423322171751,15.3562895637824,Dst,326,+,mRNA,gene,Yes,Yes,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.180,CpGTile004626,1,34846001,34847000,1.20015402023132e-12,8.63644691826437e-11,13.9586512142566,Gm38336,3990,-,lnc_RNA,ncRNA_gene,No,Yes,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.185,CpGTile005752,1,34931001,34932000,0.00290201659572906,0.0139250295893559,12.4353002070393,Plekhb2,14266,+,transcript,gene,No,No,No
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.186,CpGTile004515,1,34933001,34934000,0.000269279945031876,0.00197669454519184,14.3003851091143,Plekhb2,16266,+,transcript,gene,No,No,No
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.191,CpGTile005753,1,36069001,36070000,7.43373825253716e-07,1.31303549982407e-05,10.09094994543,Gm38049,100,-,unconfirmed_transcript,gene,Yes,Yes,No
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.206,CpGTile005754,1,36531001,36532000,0.000633683681767161,0.00400395595530014,10.3230480736447,Gm56056,-13643,+,miRNA,ncRNA_gene,No,No,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.213,CpGTile005363,1,36603001,36604000,0.00368475797467561,0.0166818753767846,11.2534300177321,D430040D24Rik,5563,+,lnc_RNA,ncRNA_gene,No,Yes,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.214,CpGTile005755,1,36608001,36609000,3.15442783273249e-06,4.61108409400387e-05,12.1928049233819,D430040D24Rik,10563,+,lnc_RNA,ncRNA_gene,No,No,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.216,CpGTile005756,1,36646001,36647000,0.00900820673835562,0.0337994964235982,16.2404014753008,Gm6428,5120,+,pseudogenic_transcript,pseudogene,No,No,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.221,CpGTile000028,1,36820001,36821000,0.000356023690403947,0.00248111521728227,11.9980347199476,Zap70,1938,+,lnc_RNA,gene,No,Yes,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.223,CpGTile005441,1,36873001,36874000,3.4060575116204e-06,4.92335037029786e-05,10.156980196258,Tmem131,-9140,-,mRNA,gene,No,Yes,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.235,CpGTile000032,1,37624001,37625000,4.30056375433297e-07,8.23230090097113e-06,11.3417676407698,4930556I23Rik,-28340,+,lnc_RNA,ncRNA_gene,No,No,No
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.236,CpGTile000033,1,37726001,37727000,8.5614229645757e-22,2.62648844814338e-19,20.7441714771558,Gm19863,8746,-,unconfirmed_transcript,gene,No,No,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.238,CpGTile000034,1,37823001,37824000,1.20372390314417e-06,2.0018060851445e-05,17.1869444641968,Tsga10,58803,-,lnc_RNA,gene,No,Yes,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.242,CpGTile005757,1,37994001,37995000,0.000344594525380628,0.00242071830976602,13.5390939242114,Lyg1,1841,-,mRNA,gene,No,No,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.247,CpGTile000035,1,38249001,38250000,5.4804837582595e-06,7.43337687720271e-05,12.1036601104744,Aff3,-12478,-,transcript,gene,No,Yes,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.260,CpGTile000038,1,39400001,39401000,0.00748825198596561,0.0292595435307618,15.6075967442525,Rpl31,-5923,+,mRNA,gene,No,Yes,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.284,CpGTile005758,1,40908001,40909000,1.05579027850144e-05,0.000130937168030533,17.5089203118805,Gm5973,-4610,-,pseudogenic_transcript,pseudogene,No,No,No
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.286,CpGTile005759,1,42578001,42579000,4.44327545413643e-11,2.26193902527448e-09,10.5372121691053,Gm37047,47030,+,unconfirmed_transcript,gene,No,No,No
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.307,CpGTile005760,1,43542001,43543000,0.00020140712008013,0.00155493060122443,11.246717883886,Gm37536,14396,+,unconfirmed_transcript,gene,No,No,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.330,CpGTile004628,1,46927001,46928000,6.19150164901478e-06,8.26316113932619e-05,18.6115171002631,Slc39a10,0,-,mRNA,gene,Yes,Yes,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.347,CpGTile000053,1,52156001,52157000,4.82344050595322e-10,1.96882835188021e-08,15.3227066729176,Stat1,-1599,+,mRNA,gene,No,No,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.370,CpGTile004629,1,54944001,54945000,0.000820616935552724,0.00495161068940734,19.1341991341991,A130048G24Rik,10754,-,unconfirmed_transcript,gene,No,No,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.382,CpGTile005761,1,55476001,55477000,0.00034691915866746,0.00243338262873731,13.1786404878774,Gm38056,-3063,+,unconfirmed_transcript,gene,No,No,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.394,CpGTile005762,1,57024001,57025000,0.000102878730572328,0.000888063757732988,13.4614783559931,ENSMUSG00000120334,-3717,-,lnc_RNA,ncRNA_gene,No,No,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.395,CpGTile004388,1,57252001,57253000,6.92422783117344e-12,4.2373028738403e-10,15.8413240509655,BC055402,1153,-,lnc_RNA,ncRNA_gene,No,Yes,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.403,CpGTile005443,1,58029001,58030000,0.00058179658346071,0.00373544006975203,12.5302287017204,Sgo2a,-5130,+,mRNA,gene,No,No,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.406,CpGTile000058,1,58346001,58347000,3.3052510747512e-07,6.60353878741891e-06,14.8483450582401,Gm15759,7816,-,lnc_RNA,ncRNA_gene,No,Yes,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.416,CpGTile005763,1,58828001,58829000,0.000389286998575331,0.00266717237486099,16.2402042792991,Gm3841,3635,+,pseudogenic_transcript,pseudogene,No,No,No
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.426,CpGTile005764,1,59488001,59489000,0.00531849734761177,0.0223860136422895,10.828376294338,Gm37737,0,-,unconfirmed_transcript,gene,Yes,Yes,No
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.433,CpGTile005765,1,59649001,59650000,0.00806516504724264,0.0309841264121471,10.9435218274823,Gm973,3028,+,transcript,gene,No,No,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.448,CpGTile000061,1,60446001,60447000,3.19511365322903e-05,0.000333611276551373,20.7551619327115,Abi2,-1778,+,mRNA,gene,No,No,No
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.482,CpGTile005766,1,64774001,64775000,3.94868357322397e-09,1.33815687242901e-07,14.1993596073855,Gm38058,-399,+,unconfirmed_transcript,gene,Yes,Yes,No
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.489,CpGTile004630,1,65149001,65150000,9.95165720757844e-08,2.30643150286363e-06,23.4877635831922,Cryga,-6470,-,mRNA,gene,No,Yes,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.503,CpGTile000067,1,67039001,67040000,0.00232018595050943,0.0116036242645256,12.5401408976625,Lancl1,20225,-,transcript,gene,No,Yes,No
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.511,CpGTile005767,1,69868001,69869000,7.16161582742285e-07,1.26785147257457e-05,13.9699845818065,Spag16,1852,+,mRNA,gene,No,No,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.515,CpGTile005768,1,71461001,71462000,9.46333306217472e-05,0.000825932816292205,10.5550392836023,Abca12,-6933,-,lnc_RNA,gene,No,No,No
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.517,CpGTile000071,1,71877001,71878000,0.00133310043452201,0.00737583975391077,13.2556704944481,Gm37217,7770,-,unconfirmed_transcript,gene,No,No,No
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.525,CpGTile005769,1,72501001,72502000,0.00237435742746914,0.0118330742565148,10.6112637362637,Gm15843,2345,+,pseudogenic_transcript,pseudogene,No,No,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.528,CpGTile000073,1,72802001,72803000,7.48636778346238e-05,0.000680498110278232,12.0026870070209,ENSMUSG00000120056,5775,-,lnc_RNA,ncRNA_gene,No,Yes,Yes
HDM_ESR1_Female-v-HDM_ESR2_FemaleCpGTile.535,CpGTile005770,1,74012001,74013000,3.08669978556814e-06,4.54054787575619e-05,13.4729934376577,Tns1,-9800,-,mRNA,gene,No,No,Yes
