id,newid,chr,start,stop,pval,qval,mdiff,gene,gene-distance,gene-strand,feature-type,gene-type,in-promoter,in-exon,in-intron
HDM_ESR1_Female-v-HDM_WT_FemaleCpGTile.23,CpGTile004322,1,5240001,5241000,4.97231276470087e-30,1.15432391508675e-25,-10.8243446957159,Atp6v1h,86616,+,lnc_RNA,gene,No,No,No
HDM_ESR1_Female-v-HDM_WT_FemaleCpGTile.315,CpGTile007805,1,33214001,33215000,2.72816881048289e-05,0.00879646133432536,11.9489973118919,Gm24901,-16074,+,snRNA,ncRNA_gene,No,No,No
HDM_ESR1_Female-v-HDM_WT_FemaleCpGTile.437,CpGTile000033,1,37726001,37727000,6.62673066297499e-07,0.000439542151859957,10.3460916270211,Gm19863,8746,-,unconfirmed_transcript,gene,No,No,Yes
HDM_ESR1_Female-v-HDM_WT_FemaleCpGTile.440,CpGTile000034,1,37823001,37824000,3.20575478492717e-06,0.00167239762867795,15.9188563116172,Tsga10,58803,-,lnc_RNA,gene,No,Yes,Yes
HDM_ESR1_Female-v-HDM_WT_FemaleCpGTile.1277,CpGTile004633,1,89018001,89019000,0.000191698409193217,0.0305861469310189,14.1340761779914,Gm38312,-5795,+,unconfirmed_transcript,gene,No,No,Yes
HDM_ESR1_Female-v-HDM_WT_FemaleCpGTile.1278,CpGTile004634,1,89035001,89036000,9.47648420884462e-05,0.0203096933747711,15.0707985143918,ENSMUSG00000120521,-4362,-,lnc_RNA,ncRNA_gene,No,Yes,Yes
HDM_ESR1_Female-v-HDM_WT_FemaleCpGTile.2289,CpGTile005460,1,159498001,159499000,0.000220701957198847,0.0331624765327466,10.5130090890169,Gm10530,-10232,+,lnc_RNA,ncRNA_gene,No,No,Yes
HDM_ESR1_Female-v-HDM_WT_FemaleCpGTile.3450,CpGTile004647,2,27489001,27490000,0.000335240091300933,0.0428793877594591,13.5725775140052,ENSMUSG00000120033,-2611,-,lnc_RNA,ncRNA_gene,No,No,No
HDM_ESR1_Female-v-HDM_WT_FemaleCpGTile.4040,CpGTile000346,2,52884001,52885000,2.03570691290865e-05,0.00716045419261557,12.0638966120894,Fmnl2,136123,+,mRNA,gene,No,No,Yes
HDM_ESR1_Female-v-HDM_WT_FemaleCpGTile.5082,CpGTile007806,2,118341001,118342000,0.000266598717654284,0.0373963583631011,10.46918767507,Gm13983,-26344,-,pseudogenic_transcript,pseudogene,No,No,No
HDM_ESR1_Female-v-HDM_WT_FemaleCpGTile.5085,CpGTile005904,2,118385001,118386000,4.34182192707279e-18,2.23990061349681e-14,-20.3570129788702,Bmf,-4834,-,mRNA,gene,No,No,No
HDM_ESR1_Female-v-HDM_WT_FemaleCpGTile.5158,CpGTile007807,2,119649001,119650000,0.000132839969271692,0.0246161682971246,18.4551495016611,Tyro3,7676,+,lnc_RNA,gene,No,No,No
HDM_ESR1_Female-v-HDM_WT_FemaleCpGTile.5612,CpGTile005916,2,145497001,145498000,0.00010151027460171,0.0211351040443733,11.9615307553596,Rin2,-19135,+,transcript,gene,No,No,No
HDM_ESR1_Female-v-HDM_WT_FemaleCpGTile.5619,CpGTile007808,2,145798001,145799000,4.25326437478301e-05,0.0116851670233594,20.6387933902628,Crnkl1,-21068,-,mRNA,gene,No,No,Yes
HDM_ESR1_Female-v-HDM_WT_FemaleCpGTile.5915,CpGTile000512,2,155786001,155787000,0.000334546225958201,0.0428793877594591,19.8565323565324,Gdf5,288,-,mRNA,gene,Yes,Yes,Yes
HDM_ESR1_Female-v-HDM_WT_FemaleCpGTile.6112,CpGTile000534,2,162790001,162791000,9.76707526925911e-05,0.0204272926439486,-10.0248756218905,L3mbtl1,78,+,transcript,gene,Yes,Yes,Yes
HDM_ESR1_Female-v-HDM_WT_FemaleCpGTile.6440,CpGTile007809,2,168472001,168473000,0.000120009218676731,0.0231204784084921,-11.6115783778466,Mir7004,9680,-,miRNA,ncRNA_gene,No,No,No
HDM_ESR1_Female-v-HDM_WT_FemaleCpGTile.7174,CpGTile005494,3,32878001,32879000,0.000107503202977639,0.0216509097142942,-10.3980539584255,Usp13,6143,+,mRNA,gene,No,No,Yes
