id,newid,infiniumid,chr,start,stop,pval,qval,mdiff,gene,gene-distance,gene-strand,feature-type,gene-type,in-promoter,in-exon,in-intron
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.1626,CpG009904,,1,20685006,20685006,9.82802506652215e-05,0.0260243160464732,22.3547859285519,Pkhd1,3259,-,transcript,gene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.6040,CpG009905,,1,57773702,57773702,0.000146091044362999,0.0364015353243655,-19.4504310344828,Spats2l,-39619,+,mRNA,gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.10319,CpG009906,,1,86796430,86796430,6.50969849660549e-05,0.0181638294503967,-30.1509365339152,Gm37541,-5642,+,unconfirmed_transcript,gene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.12272,CpG009907,,1,94188547,94188547,4.12467035971011e-05,0.0122946681183707,-17.6221780563624,Gm7891,56407,+,pseudogenic_transcript,pseudogene,No,No,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.13032,CpG009908,,1,110174336,110174336,1.57855257166119e-06,0.000709370978488373,-36.4111758553713,Cdh7,147313,+,mRNA,gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.16209,CpG009909,,1,138767793,138767793,7.72133825461495e-05,0.0211604571603949,-15.9574468085106,Lhx9,2375,-,mRNA,gene,No,Yes,Yes
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.16258,CpG009910,,1,139006943,139006943,0.000165062462542557,0.0402391108925765,32.6782564877803,Dennd1b,-6719,+,lnc_RNA,gene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.19322,CpG008753,,1,167411447,167411447,0.000148834763121937,0.0368699937710353,-30.9722222222222,Rxrg,-14506,+,mRNA,gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.23154,CpG009911,,1,190116767,190116767,9.1777790457111e-05,0.0246421414162185,-24.5988361840945,Gm29678,-19075,+,lnc_RNA,ncRNA_gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.28466,CpG009912,,10,42455719,42455719,1.31278609356264e-05,0.00451970671675258,12.1621621621622,Nr2e1,623,-,transcript,gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.28621,CpG009913,cg28403455_TC21,10,42591318,42591318,8.38707196992519e-05,0.0227095461916145,11.2978142076503,Gm15200,-16805,-,lnc_RNA,ncRNA_gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.31709,CpG009914,,10,66932927,66932927,2.36752361156162e-05,0.00754897093926393,10.3695652173913,Reep3,-204,-,mRNA,gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.32041,CpG009915,,10,68832698,68832698,0.000165187231024833,0.0402391108925765,-11.1111111111111,Gm33035,37021,-,lnc_RNA,ncRNA_gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.32155,CpG009916,,10,69686054,69686054,2.38107967980268e-05,0.00758589980831453,-30.2521008403361,Ank3,-47907,+,mRNA,gene,No,Yes,Yes
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.36164,CpG007154,,10,81295474,81295474,5.06974016927176e-05,0.0145691688277109,33.9493949394939,Gm16105,-1519,+,lnc_RNA,ncRNA_gene,No,Yes,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.36165,CpG009917,,10,81295506,81295506,0.000109916905922009,0.0286515085180355,33.971397139714,Gm16105,-1487,+,lnc_RNA,ncRNA_gene,No,Yes,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.36166,CpG007155,,10,81295531,81295531,2.07828123595538e-06,0.000894197268927286,41.3861386138614,Gm16105,-1462,+,lnc_RNA,ncRNA_gene,No,Yes,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.38322,CpG009918,,10,94458123,94458123,4.74624474515167e-05,0.0137630514216313,25.453339230429,Gm48657,1723,+,lnc_RNA,ncRNA_gene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.42451,CpG009919,,10,126915226,126915226,7.55764815306776e-05,0.0207266453152485,-17.2912474849095,Agap2,452,+,mRNA,gene,Yes,Yes,Yes
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.48309,CpG009920,,11,34222118,34222118,0.000126704128875757,0.0322186088613032,-18.9164370982553,4930403D09Rik,-27589,+,lnc_RNA,ncRNA_gene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.49264,CpG009921,,11,46056892,46056892,0.000127922390824865,0.0324853926961473,10.9486134420203,Nipal4,444,-,mRNA,gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.52063,CpG009922,,11,58983448,58983448,7.33792266564843e-05,0.0202106091900705,-22.752808988764,Obscn,-12931,-,mRNA,gene,No,No,Yes
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.55016,CpG009923,,11,69692446,69692446,1.61098178784488e-05,0.00543912262557303,-12.99159984727,Fgf11,97,-,mRNA,gene,Yes,Yes,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.55528,CpG009924,,11,70416304,70416304,3.87106867466067e-06,0.00155906055110565,11.3924050632911,Psmb6,94,+,mRNA,gene,Yes,Yes,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.56652,CpG009925,,11,74722127,74722127,1.86724470442176e-05,0.00615822840412464,11.7647058823529,Mnt,383,+,mRNA,gene,Yes,Yes,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.57934,CpG009926,,11,77399459,77399459,0.000121465561267835,0.0310509335741493,-28.8010540184453,Git1,3499,+,lnc_RNA,gene,No,Yes,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.61846,CpG009927,,11,92989077,92989077,0.000197801983488655,0.0466541240061409,12.0689655172414,Car10,-153,+,mRNA,gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.64490,CpG009928,cg30002689_TC11,11,97774716,97774716,0.000129320265466424,0.032732207628095,10.5263157894737,Fbxo47,265,-,mRNA,gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.64960,CpG009929,,11,98303805,98303805,8.17098543855774e-06,0.00299281195356239,12.9032258064516,Erbb2,488,+,transcript,gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.68342,CpG009930,,11,105056075,105056075,5.12567303877185e-06,0.00199735134361897,-20.011164649195,Gm11620,1372,-,pseudogenic_transcript,pseudogene,No,Yes,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.69845,CpG009931,,11,113515679,113515679,4.56036947214104e-05,0.0133602467758567,10.5263157894737,Sstr2,598,+,mRNA,gene,Yes,Yes,Yes
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.71248,CpG009932,,11,116164866,116164866,0.000109176145617677,0.0285164570324572,11.3207547169811,Srp68,96,-,mRNA,gene,Yes,Yes,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.74690,CpG007162,,12,3285150,3285150,2.57425141619597e-05,0.00811386422678504,18.6666666666667,Rab10os,-292,+,lnc_RNA,ncRNA_gene,Yes,No,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.74691,CpG007163,,12,3285158,3285158,0.000150279868689942,0.0371800382853063,14.0980392156863,Rab10os,-284,+,lnc_RNA,ncRNA_gene,Yes,No,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.74692,CpG007164,,12,3285164,3285164,2.85625886451129e-07,0.000160913941234899,17.0392156862745,Rab10os,-278,+,lnc_RNA,ncRNA_gene,Yes,No,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.74700,CpG009933,,12,3285507,3285507,1.21539362733835e-06,0.000562625411985046,16.0541586073501,Rab10os,-4,+,lnc_RNA,ncRNA_gene,Yes,Yes,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.74701,CpG009934,,12,3285520,3285520,9.94004112562364e-08,6.50624722229579e-05,19.7485493230174,Rab10os,0,+,lnc_RNA,ncRNA_gene,Yes,Yes,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.74702,CpG008381,,12,3285535,3285535,8.70740803260169e-09,7.89048177405417e-06,20.5905205905206,Rab10os,11,+,lnc_RNA,ncRNA_gene,Yes,Yes,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.74703,CpG009935,cg30310743_BC21,12,3285556,3285556,1.05160059079525e-07,6.81359961206781e-05,19.0377176015474,Rab10os,32,+,lnc_RNA,ncRNA_gene,Yes,Yes,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.74704,CpG009936,,12,3285559,3285559,9.88721642340144e-08,6.48271465595322e-05,17.6087801087801,Rab10os,35,+,lnc_RNA,ncRNA_gene,Yes,Yes,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.74705,CpG009937,,12,3285565,3285565,3.20379875191865e-07,0.00017711726801933,17.5743707093822,Rab10os,41,+,lnc_RNA,ncRNA_gene,Yes,Yes,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.74706,CpG009938,,12,3285578,3285578,2.39598380512494e-07,0.00013745447052937,12.2461982839181,Rab10os,54,+,lnc_RNA,ncRNA_gene,Yes,Yes,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.74708,CpG009939,,12,3285588,3285588,3.93236787825633e-08,2.97420506618817e-05,11.3541755160989,Rab10os,64,+,lnc_RNA,ncRNA_gene,Yes,Yes,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.74709,CpG009940,,12,3285592,3285592,8.02301148540525e-08,5.49806690522904e-05,11.7321420937887,Rab10os,68,+,lnc_RNA,ncRNA_gene,Yes,Yes,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.75560,CpG006366,,12,5109157,5109157,8.67460957234215e-06,0.0031502480462095,-21.4252873563218,Gm9110,8292,-,pseudogenic_transcript,pseudogene,No,No,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.76324,CpG007167,,12,15427955,15427955,0.000175939951202191,0.042542308384903,-29.1193181818182,Gm48539,-76910,-,lnc_RNA,ncRNA_gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.77133,CpG007168,,12,20895366,20895366,0.000145207048655927,0.0362282585959638,22.1122112211221,1700030C10Rik,-29587,-,lnc_RNA,ncRNA_gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.77134,CpG008385,,12,20895383,20895383,0.00017324429520138,0.0420227284404552,21.4118972872897,1700030C10Rik,-29604,-,lnc_RNA,ncRNA_gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.77135,CpG009941,,12,20895391,20895391,8.82077677097623e-05,0.0237833183185156,30.0485255692423,1700030C10Rik,-29612,-,lnc_RNA,ncRNA_gene,No,No,No
HDM_ESR1_Male-v-HDM_ESR1_FemaleCpG.78130,CpG008968,,12,29988632,29988632,0.0001979654606106,0.0466640363558927,-15.3061224489796,Pxdn,585,+,lnc_RNA,gene,Yes,No,Yes
