id,newid,infiniumid,chr,start,stop,pval,qval,mdiff,gene,gene-distance,gene-strand,feature-type,gene-type,in-promoter,in-exon,in-intron
HDM_ESR1_Male-v-HDM_WT_MaleCpG.441,CpG005956,,1,8319491,8319491,3.04284670971084e-07,0.00877334179989758,-23.3870967741936,Gm38024,204225,-,unconfirmed_transcript,gene,No,No,No
HDM_ESR1_Male-v-HDM_WT_MaleCpG.9706,CpG008691,,1,85025878,85025878,1.32789007982269e-06,0.0248863072160974,23.9042880833926,Gm53056,-6200,-,pseudogenic_transcript,pseudogene,No,No,Yes
HDM_ESR1_Male-v-HDM_WT_MaleCpG.98940,CpG009950,,13,56611414,56611414,5.90173193812424e-07,0.0122895307836211,-23.5416666666667,Il9,18646,-,mRNA,gene,No,Yes,No
HDM_ESR1_Male-v-HDM_WT_MaleCpG.111975,CpG010650,,14,45556034,45556034,2.11290873404344e-07,0.00719973282481904,15.4929577464789,Ero1a,-6,-,mRNA,gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_WT_MaleCpG.158989,CpG002361,,17,40154027,40154027,2.77382597076734e-06,0.0452042950931492,11.636837876905,Rn18s-rs5,-3217,+,rRNA,ncRNA_gene,No,No,No
HDM_ESR1_Male-v-HDM_WT_MaleCpG.190019,CpG010651,,19,45232690,45232690,5.76216879050515e-07,0.0122895307836211,20.8834586466165,Lbx1,-8440,-,mRNA,gene,No,No,No
HDM_ESR1_Male-v-HDM_WT_MaleCpG.210071,CpG009335,,2,118385807,118385807,4.868521592125e-07,0.0120200225094818,24.959034708774,Bmf,-5640,-,mRNA,gene,No,No,No
HDM_ESR1_Male-v-HDM_WT_MaleCpG.296022,CpG010652,,5,139765033,139765033,4.31594141012169e-08,0.00165626205306634,-39.0292758089368,Ints1,-3605,-,lnc_RNA,gene,No,No,No
HDM_ESR1_Male-v-HDM_WT_MaleCpG.324398,CpG010653,,7,34305662,34305662,1.54788093331498e-06,0.0263720078982605,32.9205650339387,Gm44837,31476,-,lnc_RNA,ncRNA_gene,No,No,No
HDM_ESR1_Male-v-HDM_WT_MaleCpG.344839,CpG007249,,8,20143169,20143169,5.13094000198213e-07,0.0120200225094818,-37.8551696921863,6820431F20Rik,-553,+,lnc_RNA,ncRNA_gene,Yes,No,No
HDM_ESR1_Male-v-HDM_WT_MaleCpG.356575,CpG010030,,8,96079509,96079509,8.43209382815607e-07,0.0166345155308314,15.2542372881356,Mmp15,615,+,mRNA,gene,Yes,Yes,No
HDM_ESR1_Male-v-HDM_WT_MaleCpG.385775,CpG005961,,9,123725553,123725553,7.91614102723224e-17,1.48358302063647e-11,-30.9028772561699,ENSMUSG00000120693,539,+,lnc_RNA,ncRNA_gene,Yes,Yes,No
HDM_ESR1_Male-v-HDM_WT_MaleCpG.385777,CpG005962,,9,123725583,123725583,4.71914553559411e-26,1.76885281968446e-20,62.3832308042834,ENSMUSG00000120693,569,+,lnc_RNA,ncRNA_gene,Yes,Yes,No
HDM_ESR1_Male-v-HDM_WT_MaleCpG.387488,CpG005861,,X,168762249,168762249,1.50213023699216e-06,0.0263720078982605,25.0459652706844,Mid1,-198,+,mRNA,gene,Yes,No,Yes
HDM_ESR1_Male-v-HDM_WT_MaleCpG.387929,CpG006344,,Y,90755723,90755723,4.30490221244812e-10,5.37861381862504e-05,18.903638557802,Mid1-ps1,-8603,+,pseudogenic_transcript,pseudogene,No,No,No
HDM_ESR1_Male-v-HDM_WT_MaleCpG.387942,CpG010654,,Y,90795381,90795381,3.93580690530054e-09,0.000245873011320399,24.8410485220301,Gm47283,-626,+,lnc_RNA,ncRNA_gene,Yes,No,No
HDM_ESR1_Male-v-HDM_WT_MaleCpG.387948,CpG010655,,Y,90795403,90795403,5.87248725666097e-10,5.50288477233735e-05,23.6363636363636,Gm47283,-604,+,lnc_RNA,ncRNA_gene,Yes,No,No
HDM_ESR1_Male-v-HDM_WT_MaleCpG.387950,CpG010656,,Y,90795410,90795410,3.51718192321355e-08,0.00164790879919226,24.2275515895148,Gm47283,-597,+,lnc_RNA,ncRNA_gene,Yes,No,No
HDM_ESR1_Male-v-HDM_WT_MaleCpG.387981,CpG006347,,Y,90818740,90818740,4.90851269130798e-09,0.000262833189640246,22.4797740935156,Gm47283,17022,+,lnc_RNA,ncRNA_gene,No,No,Yes
HDM_ESR1_Male-v-HDM_WT_MaleCpG.387988,CpG010657,,Y,90837363,90837363,4.4187631591057e-08,0.00165626205306634,31.1431889829102,Gm21742,-11319,+,pseudogenic_transcript,pseudogene,No,No,No
